ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 7 name,Attribute 7 value(s),Attribute 7 visible,Attribute 7 global,Attribute 8 name,Attribute 8 value(s),Attribute 8 visible,Attribute 8 global
16855,variation,,Chateau Haut Bailly,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,122,,,,,,,1000000060,,,,,,11,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2110,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2005,,1,area,left bank,,1
16856,variation,,Chateau Haut Bailly,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000060,,,,,,12,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2110,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2006,,1,area,left bank,,1
16857,variation,,Chateau Haut Bailly,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000060,,,,,,13,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2110,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2007,,1,area,left bank,,1
16858,variation,,Chateau Haut Bailly,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000060,,,,,,14,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2110,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2008,,1,area,left bank,,1
16859,variation,,Chateau Haut Bailly,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000060,,,,,,15,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2110,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2009,,1,area,left bank,,1
16860,variation,,Chateau Haut Bailly,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000060,,,,,,16,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2110,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2010,,1,area,left bank,,1
16861,variation,,Chateau Haut Bailly,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000060,,,,,,17,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2110,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2011,,1,area,left bank,,1
16862,variation,,Chateau Haut Bailly,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000060,,,,,,18,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2110,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2012,,1,area,left bank,,1
16863,variation,,Chateau Haut Bailly,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000060,,,,,,19,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2110,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2013,,1,area,left bank,,1
16864,variation,,Chateau Haut Bailly,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000060,,,,,,20,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2110,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2014,,1,area,left bank,,1
16865,variation,,Chateau Haut Bailly,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000060,,,,,,21,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2110,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2015,,1,area,left bank,,1
16866,variation,,Chateau Haut Bailly,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000060,,,,,,22,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2110,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2016,,1,area,left bank,,1
16867,variation,,Chateau Haut Bailly,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000060,,,,,,23,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2110,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2017,,1,area,left bank,,1
16868,variation,,Chateau Haut Bailly,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000060,,,,,,24,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2110,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2018,,1,area,left bank,,1
16869,variation,,Chateau Haut Bailly,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000060,,,,,,25,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2110,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2019,,1,area,left bank,,1
16870,variation,,Chateau Haut Bailly,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000060,,,,,,26,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2110,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2020,,1,area,left bank,,1
16871,variation,,Chateau Haut Bailly,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000060,,,,,,27,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2110,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2021,,1,area,left bank,,1
16872,variation,,Chateau Pédesclaux,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000053,,,,,,1,apellation,Pauillac,,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2103,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,1995,,1,area,left bank,,1
16873,variation,,Chateau Pédesclaux,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000053,,,,,,2,apellation,Pauillac,,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2103,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,1996,,1,area,left bank,,1
16874,variation,,Chateau Pédesclaux,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000053,,,,,,3,apellation,Pauillac,,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2103,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,1997,,1,area,left bank,,1
16875,variation,,Chateau Pédesclaux,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000053,,,,,,4,apellation,Pauillac,,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2103,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,1998,,1,area,left bank,,1
16876,variation,,Chateau Pédesclaux,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000053,,,,,,5,apellation,Pauillac,,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2103,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,1999,,1,area,left bank,,1
16877,variation,,Chateau Pédesclaux,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000053,,,,,,6,apellation,Pauillac,,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2103,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2000,,1,area,left bank,,1
16878,variation,,Chateau Pédesclaux,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000053,,,,,,7,apellation,Pauillac,,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2103,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2001,,1,area,left bank,,1
16879,variation,,Chateau Pédesclaux,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000053,,,,,,8,apellation,Pauillac,,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2103,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2002,,1,area,left bank,,1
16880,variation,,Chateau Pédesclaux,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000053,,,,,,9,apellation,Pauillac,,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2103,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2003,,1,area,left bank,,1
16881,variation,,Chateau Pédesclaux,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000053,,,,,,10,apellation,Pauillac,,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2103,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2004,,1,area,left bank,,1
16882,variation,,Chateau Pédesclaux,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000053,,,,,,11,apellation,Pauillac,,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2103,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2005,,1,area,left bank,,1
16883,variation,,Chateau Pédesclaux,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000053,,,,,,12,apellation,Pauillac,,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2103,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2006,,1,area,left bank,,1
16884,variation,,Chateau Pédesclaux,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000053,,,,,,13,apellation,Pauillac,,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2103,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2007,,1,area,left bank,,1
16885,variation,,Chateau Pédesclaux,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000053,,,,,,14,apellation,Pauillac,,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2103,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2008,,1,area,left bank,,1
16886,variation,,Chateau Pédesclaux,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000053,,,,,,15,apellation,Pauillac,,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2103,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2009,,1,area,left bank,,1
16887,variation,,Chateau Pédesclaux,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000053,,,,,,16,apellation,Pauillac,,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2103,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2010,,1,area,left bank,,1
16888,variation,,Chateau Pédesclaux,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000053,,,,,,17,apellation,Pauillac,,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2103,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2011,,1,area,left bank,,1
16889,variation,,Chateau Pédesclaux,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000053,,,,,,18,apellation,Pauillac,,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2103,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2012,,1,area,left bank,,1
16890,variation,,Chateau Pédesclaux,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000053,,,,,,19,apellation,Pauillac,,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2103,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2013,,1,area,left bank,,1
16891,variation,,Chateau Pédesclaux,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000053,,,,,,20,apellation,Pauillac,,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2103,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2014,,1,area,left bank,,1
16892,variation,,Chateau Pédesclaux,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000053,,,,,,21,apellation,Pauillac,,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2103,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2015,,1,area,left bank,,1
16893,variation,,Chateau Pédesclaux,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000053,,,,,,22,apellation,Pauillac,,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2103,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2016,,1,area,left bank,,1
16894,variation,,Chateau Pédesclaux,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000053,,,,,,23,apellation,Pauillac,,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2103,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2017,,1,area,left bank,,1
16895,variation,,Chateau Pédesclaux,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000053,,,,,,24,apellation,Pauillac,,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2103,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2018,,1,area,left bank,,1
16896,variation,,Chateau Pédesclaux,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000053,,,,,,25,apellation,Pauillac,,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2103,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2019,,1,area,left bank,,1
16897,variation,,Chateau Pédesclaux,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000053,,,,,,26,apellation,Pauillac,,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2103,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2020,,1,area,left bank,,1
16898,variation,,Chateau Pédesclaux,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000053,,,,,,27,apellation,Pauillac,,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2103,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2021,,1,area,left bank,,1
16899,variation,,Chateau Cantemerle,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000059,,,,,,1,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2109,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,1995,,1,area,left bank,,1
16900,variation,,Chateau Cantemerle,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000059,,,,,,2,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2109,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,1996,,1,area,left bank,,1
16901,variation,,Chateau Cantemerle,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000059,,,,,,3,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2109,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,1997,,1,area,left bank,,1
16902,variation,,Chateau Cantemerle,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000059,,,,,,4,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2109,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,1998,,1,area,left bank,,1
16903,variation,,Chateau Cantemerle,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000059,,,,,,5,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2109,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,1999,,1,area,left bank,,1
16904,variation,,Chateau Cantemerle,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000059,,,,,,6,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2109,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2000,,1,area,left bank,,1
16905,variation,,Chateau Cantemerle,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000059,,,,,,7,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2109,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2001,,1,area,left bank,,1
16906,variation,,Chateau Cantemerle,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000059,,,,,,8,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2109,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2002,,1,area,left bank,,1
16907,variation,,Chateau Cantemerle,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000059,,,,,,9,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2109,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2003,,1,area,left bank,,1
16908,variation,,Chateau Cantemerle,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000059,,,,,,10,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2109,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2004,,1,area,left bank,,1
16909,variation,,Chateau Cantemerle,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000059,,,,,,11,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2109,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2005,,1,area,left bank,,1
16910,variation,,Chateau Cantemerle,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000059,,,,,,12,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2109,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2006,,1,area,left bank,,1
16911,variation,,Chateau Cantemerle,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000059,,,,,,13,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2109,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2007,,1,area,left bank,,1
16912,variation,,Chateau Cantemerle,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000059,,,,,,14,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2109,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2008,,1,area,left bank,,1
16913,variation,,Chateau Cantemerle,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000059,,,,,,15,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2109,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2009,,1,area,left bank,,1
16914,variation,,Chateau Cantemerle,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000059,,,,,,16,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2109,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2010,,1,area,left bank,,1
16915,variation,,Chateau Cantemerle,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000059,,,,,,17,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2109,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2011,,1,area,left bank,,1
16916,variation,,Chateau Cantemerle,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000059,,,,,,18,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2109,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2012,,1,area,left bank,,1
16917,variation,,Chateau Cantemerle,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000059,,,,,,19,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2109,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2013,,1,area,left bank,,1
16918,variation,,Chateau Cantemerle,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000059,,,,,,20,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2109,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2014,,1,area,left bank,,1
16919,variation,,Chateau Cantemerle,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000059,,,,,,21,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2109,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2015,,1,area,left bank,,1
16920,variation,,Chateau Cantemerle,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,,1000000059,,,,,,22,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2109,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2016,,1,area,left bank,,1
